pair_key,clip_text_prompt
As large steps as possible|||Transition 1,A person transitions by taking as large steps as possible.
Barely lift feet off the floor/kick into floor|||Backwards Running,"A person runs backwards, barely lifting their feet off the floor and kicking into it."
Barely lift feet off the floor/kick into floor|||Backwards Walking,A person walks backwards while barely lifting feet off the floor and kicking into it.
Barely lift feet off the floor/kick into floor|||Forwards Running,A person runs forward while barely lifting their feet off the floor and kicking into it.
Barely lift feet off the floor/kick into floor|||Forwards Walking,"A person walks forward, barely lifting their feet off the floor and kicking into it with each step."
Barely lift feet off the floor/kick into floor|||Idling,A person idles while barely lifting feet off the floor and kicking into it.
Barely lift feet off the floor/kick into floor|||Sidestep Running,A person sidestep runs while barely lifting feet off the floor and kicking into the ground.
Barely lift feet off the floor/kick into floor|||Sidestep Walking,A person sidesteps while barely lifting their feet off the floor and kicking into it.
Barely lift feet off the floor/kick into floor|||Transition 1,Human motion of shuffling feet with barely lifting them off the floor.
Beat chest while moving normally|||Backwards Running,Human motion of beating chest while running backwards.
Beat chest while moving normally|||Backwards Walking,A person beats their chest while walking backwards.
Beat chest while moving normally|||Forwards Running,Human motion of running forward while beating the chest.
Beat chest while moving normally|||Forwards Walking,A person beats their chest while walking forwards.
Beat chest while moving normally|||Idling,A person beats their chest while idling.
Beat chest while moving normally|||Sidestep Running,A person beats their chest while sidestepping and running.
Beat chest while moving normally|||Sidestep Walking,A person sidesteps while beating their chest.
Beat chest while moving normally|||Transition 1,A person beats their chest while transitioning with their lower body.
Bend knees as much as possible|||Backwards Running,A person runs backwards with knees bent as much as possible.
Bend knees as much as possible|||Backwards Walking,A person walks backwards while crouching deeply.
Bend knees as much as possible|||Forwards Running,A person runs forwards while bending their knees as much as possible.
Bend knees as much as possible|||Forwards Walking,A person walks forward with knees bent as much as possible.
Bend knees as much as possible|||Idling,A person bends their knees fully while idling.
Bend knees as much as possible|||Sidestep Running,A person bends their knees deeply while sidestepping and running.
Bend knees as much as possible|||Sidestep Walking,A person walks sideways while bending their knees as much as possible.
Bend knees as much as possible|||Transition 1,A person deeply bends their knees while performing a transitional movement.
Bent back – legs wide - hands swing between legs.|||Backwards Running,"Human motion of running backwards with a bent back, wide legs, and hands swinging between them."
Bent back – legs wide - hands swing between legs.|||Backwards Walking,"A person walks backwards with a bent back, legs wide apart, and hands swinging between their legs."
Bent back – legs wide - hands swing between legs.|||Forwards Running,"A person runs forward with a bent back, wide legs, and hands swinging between them."
Bent back – legs wide - hands swing between legs.|||Forwards Walking,"Human motion of walking forward with a bent back, wide legs, and hands swinging between them."
Bent back – legs wide - hands swing between legs.|||Idling,"Human motion of idling with a bent back, legs wide, and hands swinging between the legs."
Bent back – legs wide - hands swing between legs.|||Sidestep Running,"A person sidestep runs with a bent back, wide legs, and hands swinging between the legs."
Bent back – legs wide - hands swing between legs.|||Sidestep Walking,"A person sidesteps with a bent back, legs wide, and hands swinging between the legs."
Bent back – legs wide - hands swing between legs.|||Transition 1,"Human motion of a person with a bent back and wide legs, swinging hands between them while transitioning."
Bent back – legs wide - hands swing between legs.|||Transition 2,"A person bends back with legs wide, swings hands between legs, and transitions the lower body."
Bent backwards|||Backwards Running,Human motion of running backwards with the upper body bent backwards.
Bent backwards|||Backwards Walking,A person walks backwards with their upper body bent backwards.
Bent backwards|||Forwards Running,A person runs forward with their upper body bent backwards.
Bent backwards|||Forwards Walking,A person walks forward with their upper body bent backwards.
Bent backwards|||Idling,A person bends their upper body backwards while keeping their lower body stationary.
Bent backwards|||Sidestep Running,A person runs sideways with their upper body arched backward.
Bent backwards|||Sidestep Walking,A person sidesteps with their upper body bent backwards.
Bent backwards|||Transition 1,A person bends their upper body backwards during a lower body transition.
Bent to flat back with hands behind as thrusters|||Backwards Running,"A person runs backwards, bending to flatten their back with hands behind acting as thrusters."
Bent to flat back with hands behind as thrusters|||Backwards Walking,Human motion of bending to a flat back with hands behind as thrusters while walking backwards.
Bent to flat back with hands behind as thrusters|||Forwards Running,Human motion of running forward with a bent-to-flat back and hands thrusting behind.
Bent to flat back with hands behind as thrusters|||Forwards Walking,A person walks forward while bending to a flat back with hands behind as thrusters.
Bent to flat back with hands behind as thrusters|||Idling,"A person transitions from a bent to a flat back with hands positioned behind, while the lower body idles."
Bent to flat back with hands behind as thrusters|||Sidestep Running,A person sidestep runs with a bent-to-flat back and hands behind as thrusters.
Bent to flat back with hands behind as thrusters|||Sidestep Walking,A person sidesteps while transitioning from a bent to a flat back with hands thrust behind as thrusters.
Bent to flat back with hands behind as thrusters|||Transition 1,Human motion of bending to a flat back with hands behind as thrusters while transitioning.
Bob head - arms as wings|||Backwards Running,A person bobs their head and flaps their arms like wings while running backwards.
Bob head - arms as wings|||Backwards Walking,A person walks backwards while bobbing their head and flapping their arms like wings.
Bob head - arms as wings|||Forwards Running,"A person bobs their head, flaps their arms like wings, and runs forward."
Bob head - arms as wings|||Forwards Walking,Human motion of walking forward while bobbing the head and flapping the arms like wings.
Bob head - arms as wings|||Idling,A person bobs their head and flaps their arms like wings while idling.
Bob head - arms as wings|||Sidestep Running,"A person sidesteps while running, bobbing their head and holding arms out like wings."
Bob head - arms as wings|||Sidestep Walking,A person bobs their head with arms extended like wings while sidestepping.
Bob head - arms as wings|||Transition 1,A person bobs their head and flaps their arms like wings while their lower body transitions.
Both arms raised as wings – tilting from side to side|||Backwards Running,"A person runs backwards with both arms raised like wings, tilting from side to side."
Both arms raised as wings – tilting from side to side|||Backwards Walking,"A person walks backwards with both arms raised as wings, tilting from side to side."
Both arms raised as wings – tilting from side to side|||Forwards Running,"A person runs forwards with both arms raised like wings, tilting from side to side."
Both arms raised as wings – tilting from side to side|||Forwards Walking,"A person walks forwards, arms raised like wings and tilting from side to side."
Both arms raised as wings – tilting from side to side|||Idling,"A person raises both arms as wings, tilting from side to side while idling."
Both arms raised as wings – tilting from side to side|||Sidestep Running,A person runs sidestepping with arms raised like wings and tilting side to side.
Both arms raised as wings – tilting from side to side|||Sidestep Walking,A person sidesteps while raising both arms like wings and tilting from side to side.
Both arms raised as wings – tilting from side to side|||Transition 1,A person tilts side to side with arms raised as wings during a lower body transition.
Breastroke walking|||Backwards Running,Human motion of walking with breaststroke arm movements while running backwards.
Breastroke walking|||Backwards Walking,A person walks backwards with breaststroke arm movements.
Breastroke walking|||Forwards Running,A person runs forward with breaststroke-style arm movements.
Breastroke walking|||Forwards Walking,Human motion of walking forward with breaststroke arm movements.
Breastroke walking|||Idling,A person simulates breaststroke walking with their upper body while idling with their lower body.
Breastroke walking|||Sidestep Running,A person sidestep runs with breaststroke arm movements.
Breastroke walking|||Sidestep Walking,A person sidesteps while performing breaststroke arm movements.
Breastroke walking|||Transition 1,A person performs breaststroke arm motions while transitioning with their lower body.
Check behind occasionally|||Backwards Running,"A person runs backwards, occasionally checking behind."
Check behind occasionally|||Backwards Walking,A person walks backwards while occasionally turning to look behind.
Check behind occasionally|||Forwards Running,A person runs forward while occasionally checking behind.
Check behind occasionally|||Forwards Walking,A person walks forward while occasionally checking behind.
Check behind occasionally|||Idling,"A person idles, occasionally checking behind."
Check behind occasionally|||Sidestep Running,"A person sidesteps while running, occasionally checking behind."
Check behind occasionally|||Sidestep Walking,A person sidesteps while occasionally checking behind.
Check behind occasionally|||Transition 1,A person occasionally checks behind while transitioning.
Drag left foot along the floor|||Backwards Running,A person runs backwards while dragging their left foot along the floor.
Drag left foot along the floor|||Backwards Walking,A person walks backwards while dragging their left foot along the floor.
Drag left foot along the floor|||Forwards Running,A person runs forwards while dragging their left foot along the floor.
Drag left foot along the floor|||Forwards Walking,A person walks forward while dragging their left foot along the floor.
Drag left foot along the floor|||Idling,A person idles while dragging their left foot along the floor.
Drag left foot along the floor|||Sidestep Running,Human motion of sidestep running while dragging the left foot along the floor.
Drag left foot along the floor|||Sidestep Walking,"A person sidesteps, dragging their left foot along the floor."
Drag left foot along the floor|||Transition 1,A person transitions by dragging their left foot along the floor.
Drag right foot along the floor|||Backwards Running,A person runs backwards while dragging their right foot along the floor.
Drag right foot along the floor|||Backwards Walking,A person walks backwards while dragging their right foot along the floor.
Drag right foot along the floor|||Forwards Running,Human motion of running forwards while dragging the right foot along the floor.
Drag right foot along the floor|||Forwards Walking,A person walks forwards while dragging their right foot along the floor.
Drag right foot along the floor|||Idling,A person idles while dragging their right foot along the floor.
Drag right foot along the floor|||Sidestep Running,A person executes sidestep running while dragging their right foot along the floor.
Drag right foot along the floor|||Sidestep Walking,A person sidesteps while dragging their right foot along the floor.
Drag right foot along the floor|||Transition 1,A person performs Transition 1 by dragging their right foot along the floor.
Feeling around as if in darkness|||Backwards Running,"A person runs backwards, feeling around as if in darkness."
Feeling around as if in darkness|||Backwards Walking,Human motion of feeling around in darkness while walking backwards.
Feeling around as if in darkness|||Forwards Running,A person runs forward while feeling around as if in darkness.
Feeling around as if in darkness|||Forwards Walking,"A person walks forward, feeling around as if in darkness."
Feeling around as if in darkness|||Idling,Human motion of idling while feeling around as if in darkness.
Feeling around as if in darkness|||Sidestep Running,A person runs with sidesteps while groping in darkness.
Feeling around as if in darkness|||Sidestep Walking,A person sidesteps while feeling around as if in darkness.
Feeling around as if in darkness|||Transition 1,A person cautiously feels around in the dark while shifting their position.
Feet together and jump|||Backwards Running,"A person runs backwards, jumping with feet together."
Feet together and jump|||Backwards Walking,"A person walks backwards, jumping with feet together."
Feet together and jump|||Forwards Running,A person performs a forwards running jump with feet together.
Feet together and jump|||Forwards Walking,A person jumps forward with feet together while walking.
Feet together and jump|||Idling,"A person idles with feet together, upper body styled for a jump."
Feet together and jump|||Sidestep Running,A person sidestep runs while jumping with feet together.
Feet together and jump|||Sidestep Walking,A person jumps with feet together while sidestepping.
Feet together and jump|||Transition 1,Human motion of jumping with feet together and transitioning.
Flap arms as wings on tiptoes|||Backwards Running,Human motion of flapping arms while running backwards on tiptoes.
Flap arms as wings on tiptoes|||Backwards Walking,Human motion of flapping arms while walking backwards on tiptoes.
Flap arms as wings on tiptoes|||Forwards Running,A person runs forwards on tiptoes while flapping their arms like wings.
Flap arms as wings on tiptoes|||Forwards Walking,A person walks forwards on tiptoes while flapping their arms like wings.
Flap arms as wings on tiptoes|||Idling,A person idles on tiptoes while flapping their arms like wings.
Flap arms as wings on tiptoes|||Sidestep Running,A person sidestep runs while flapping their arms like wings on tiptoes.
Flap arms as wings on tiptoes|||Sidestep Walking,A person sidesteps while flapping arms as wings on tiptoes.
Flap arms as wings on tiptoes|||Transition 1,A person transitions on tiptoes while flapping arms as wings.
Hands on hips|||Backwards Running,A person runs backwards with hands on hips.
Hands on hips|||Backwards Walking,A person is walking backwards with hands on hips.
Hands on hips|||Forwards Running,A person runs forward with hands on hips.
Hands on hips|||Forwards Walking,A person walks forwards with hands on hips.
Hands on hips|||Idling,A person stands idly with hands on hips.
Hands on hips|||Sidestep Running,A person sidestep runs with hands on hips.
Hands on hips|||Sidestep Walking,Human motion of sidestepping with hands placed firmly on hips.
Hands on hips|||Transition 1,Human motion of placing hands on hips while transitioning.
Hands raised infront of body wiggle hips side to side|||Backwards Running,A person runs backwards with hands raised in front of the body and hips wiggling side to side.
Hands raised infront of body wiggle hips side to side|||Backwards Walking,A person walks backwards with hands raised in front of their body and hips wiggling side to side.
Hands raised infront of body wiggle hips side to side|||Forwards Running,A person runs forwards with hands raised in front and hips wiggling side to side.
Hands raised infront of body wiggle hips side to side|||Forwards Walking,"A person walks forward with hands raised, wiggling their hips from side to side."
Hands raised infront of body wiggle hips side to side|||Idling,A person idles with hands raised in front and hips wiggling side to side.
Hands raised infront of body wiggle hips side to side|||Sidestep Running,A person sidestep runs with hands raised in front of the body and hips wiggling side to side.
Hands raised infront of body wiggle hips side to side|||Sidestep Walking,Human motion of sidestepping with hands raised and wiggling hips side to side.
Hands raised infront of body wiggle hips side to side|||Transition 1,A person raises hands in front of the body and wiggles hips side to side during a transition.
Head bowed arms swinging|||Backwards Running,A person runs backwards with their head bowed and arms swinging.
Head bowed arms swinging|||Backwards Walking,A person walks backwards with their head bowed and arms swinging.
Head bowed arms swinging|||Forwards Running,A person runs forward with head bowed and arms swinging.
Head bowed arms swinging|||Forwards Walking,A person walks forward with head bowed and arms swinging.
Head bowed arms swinging|||Idling,A person idles with head bowed and arms swinging.
Head bowed arms swinging|||Sidestep Running,A person sidesteps and runs with their head bowed and arms swinging.
Head bowed arms swinging|||Sidestep Walking,A person sidesteps with head bowed and arms swinging.
Head bowed arms swinging|||Transition 1,A person walks with head bowed and arms swinging.
High knees swing arms at elbows|||Backwards Running,A person runs backwards while swinging their arms at the elbows.
High knees swing arms at elbows|||Backwards Walking,A person walks backwards while swinging their arms at the elbows.
High knees swing arms at elbows|||Forwards Running,A person runs forward with high knees and swings their arms at the elbows.
High knees swing arms at elbows|||Forwards Walking,A person walks forwards with high knees while swinging arms at the elbows.
High knees swing arms at elbows|||Idling,A person idles while swinging their arms at the elbows with high knees.
High knees swing arms at elbows|||Sidestep Running,A person sidestep runs while swinging arms at the elbows.
High knees swing arms at elbows|||Sidestep Walking,A person sidesteps while swinging their arms at the elbows.
High knees swing arms at elbows|||Transition 1,A person swings arms at the elbows while performing a high-knee transition.
Holding phone in left|||Backwards Running,A person holds a phone in their left hand while running backwards.
Holding phone in left|||Backwards Walking,A person holds a phone in their left hand while walking backwards.
Holding phone in left|||Forwards Running,A person runs forwards while holding a phone in their left hand.
Holding phone in left|||Forwards Walking,A person walks forward while holding a phone in their left hand.
Holding phone in left|||Idling,"A person stands idly, holding a phone in their left hand."
Holding phone in left|||Sidestep Running,A person runs sideways while holding a phone in their left hand.
Holding phone in left|||Sidestep Walking,A person holds a phone in their left hand while sidestepping as they walk.
Holding phone in left|||Transition 1,A person transitions with their lower body while holding a phone in their left hand.
Holding phone in right|||Backwards Running,Human motion of holding a phone in the right hand while running backwards.
Holding phone in right|||Backwards Walking,A person holds a phone in their right hand while walking backwards.
Holding phone in right|||Forwards Running,Human motion of running forward while holding a phone in the right hand.
Holding phone in right|||Forwards Walking,Human motion of walking forward while holding a phone in the right hand.
Holding phone in right|||Idling,A person holds a phone in the right hand while idling.
Holding phone in right|||Sidestep Running,A person performs a sidestep run while holding a phone in their right hand.
Holding phone in right|||Sidestep Walking,Human motion of holding a phone in the right hand while sidestepping.
Holding phone in right|||Transition 1,A person performs a lower body transition while holding a phone in their right hand.
Hop on left foot|||Backwards Running,A person hops on their left foot while running backwards.
Hop on left foot|||Backwards Walking,A person hops on their left foot while walking backwards.
Hop on left foot|||Forwards Running,A person hops on their left foot while running forward.
Hop on left foot|||Forwards Walking,A person hops forward on their left foot.
Hop on left foot|||Idling,A person idly hops on the left foot.
Hop on left foot|||Sidestep Running,A person hops on their left foot while sidestepping and running.
Hop on left foot|||Sidestep Walking,Human motion of hopping on the left foot while sidestepping.
Hop on left foot|||Transition 1,A person hops on their left foot as their lower body transitions.
Hop on left foot|||Transition 2,Human motion of hopping on the left foot while transitioning to a new stance.
Hop on right foot|||Backwards Running,A person hops on their right foot while running backwards.
Hop on right foot|||Backwards Walking,A person hops backwards on their right foot.
Hop on right foot|||Forwards Running,A person hops on their right foot while running forward.
Hop on right foot|||Forwards Walking,A person hops on their right foot while walking forward.
Hop on right foot|||Idling,Human motion of idling while hopping on the right foot.
Hop on right foot|||Sidestep Running,A person performs sidestep running while hopping on the right foot.
Hop on right foot|||Sidestep Walking,Human motion of hopping on the right foot while sidestepping.
Hop on right foot|||Transition 1,A person hops on the right foot while transitioning with the lower body.
Hop on right foot|||Transition 2,A person hops on the right foot during a transitional movement.
Hunchbacked move very slowly|||Backwards Running,A person runs backwards with a hunched back and slow upper body movements.
Hunchbacked move very slowly|||Backwards Walking,A person walks backwards very slowly with a hunched back.
Hunchbacked move very slowly|||Forwards Running,"A person runs forward with a slow, hunchbacked gait."
Hunchbacked move very slowly|||Forwards Walking,A person walks forward slowly with a hunched back.
Hunchbacked move very slowly|||Idling,A person hunchbacked moves very slowly while idling.
Hunchbacked move very slowly|||Sidestep Running,A person sidestep runs very slowly with a hunchbacked posture.
Hunchbacked move very slowly|||Sidestep Walking,A person with a hunchback sidesteps very slowly.
Hunchbacked move very slowly|||Transition 1,A person with a hunched back moves very slowly through a transition.
Interlock hands in front of pelvis head slightly bowed|||Backwards Running,A person runs backwards with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Backwards Walking,A person walks backwards with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Forwards Running,A person runs forwards with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Forwards Walking,A person walks forward with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Idling,A person idles with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Sidestep Running,A person sidestep runs with hands interlaced in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Sidestep Walking,A person sidesteps with hands interlocked in front of the pelvis and head slightly bowed.
Interlock hands in front of pelvis head slightly bowed|||Transition 1,A person interlaces hands in front of the pelvis with a slightly bowed head during a lower body transition.
Keep arms fixed by side and do not move them|||Backwards Running,A person runs backwards with arms fixed by their side.
Keep arms fixed by side and do not move them|||Backwards Walking,A person walks backwards with arms fixed at their sides.
Keep arms fixed by side and do not move them|||Forwards Running,Human motion of running forward with arms held stationary at the sides.
Keep arms fixed by side and do not move them|||Forwards Walking,A person walks forwards while keeping their arms fixed by their sides.
Keep arms fixed by side and do not move them|||Idling,Human motion of idling with arms held stationary at the sides.
Keep arms fixed by side and do not move them|||Sidestep Running,A person runs with sidesteps while keeping arms fixed at their sides.
Keep arms fixed by side and do not move them|||Sidestep Walking,A person sidesteps while keeping their arms fixed by their sides.
Keep arms fixed by side and do not move them|||Transition 1,Human motion of transitioning with arms fixed at the sides.
Keep left leg straight and limp|||Backwards Running,A person runs backwards while keeping their left leg straight and limping.
Keep left leg straight and limp|||Backwards Walking,A person limps backwards while keeping the left leg straight.
Keep left leg straight and limp|||Forwards Running,A person runs forward while keeping their left leg straight and limp.
Keep left leg straight and limp|||Forwards Walking,"A person walks forward with a limp, keeping the left leg straight."
Keep left leg straight and limp|||Idling,A person idles while keeping their left leg straight and limp.
Keep left leg straight and limp|||Sidestep Running,A person sidestep runs while keeping their left leg straight and limp.
Keep left leg straight and limp|||Sidestep Walking,A person sidesteps while keeping the left leg straight and limping.
Keep left leg straight and limp|||Transition 1,A person performs Transition 1 while keeping the left leg straight and limping.
Keep right leg straight and limp|||Backwards Running,Human motion of backwards running with the right leg kept straight and limping.
Keep right leg straight and limp|||Backwards Walking,A person limps backwards while keeping their right leg straight.
Keep right leg straight and limp|||Forwards Running,A person runs forward while keeping the right leg straight and limping.
Keep right leg straight and limp|||Forwards Walking,A person limps forwards with their right leg kept straight.
Keep right leg straight and limp|||Idling,"A person idles, holding their right leg straight and limp."
Keep right leg straight and limp|||Sidestep Running,"A person sidestep runs while keeping the right leg straight, resulting in a limp."
Keep right leg straight and limp|||Sidestep Walking,A person limps sideways while keeping their right leg straight.
Keep right leg straight and limp|||Transition 1,Human motion of transitioning with the right leg kept straight and limping.
Kick legs into the air with each step|||Backwards Running,"A person runs backwards, kicking their legs into the air with each step."
Kick legs into the air with each step|||Backwards Walking,"A person walks backwards, kicking legs into the air with each step."
Kick legs into the air with each step|||Forwards Running,"A person runs forwards, kicking their legs into the air with each step."
Kick legs into the air with each step|||Forwards Walking,"A person walks forward, kicking their legs into the air with each step."
Kick legs into the air with each step|||Idling,A person idles while kicking legs into the air with each step.
Kick legs into the air with each step|||Sidestep Running,"A person sidestep runs, kicking legs into the air with each step."
Kick legs into the air with each step|||Sidestep Walking,Human motion of sidestep walking while kicking legs into the air with each step.
Kick legs into the air with each step|||Transition 1,A person kicks legs into the air with each step while the lower body performs Transition 1.
Kick with every step|||Backwards Running,A person runs backwards while kicking with each step.
Kick with every step|||Backwards Walking,"A person walks backwards, kicking with every step."
Kick with every step|||Forwards Running,A person runs forward while kicking with each step.
Kick with every step|||Forwards Walking,A person walks forward while kicking with each step.
Kick with every step|||Idling,A person's lower body idles while their upper body kicks with every step.
Kick with every step|||Sidestep Running,A person performs sidestep running while kicking with every step.
Kick with every step|||Sidestep Walking,Human motion of sidestepping while kicking with each step.
Kick with every step|||Transition 1,A person kicks with each step while transitioning their lower body.
Knees together and flick legs to sides as moving|||Backwards Running,A person runs backwards with knees together and legs flicking to the sides.
Knees together and flick legs to sides as moving|||Backwards Walking,A person walks backwards with knees together and legs flicking to the sides.
Knees together and flick legs to sides as moving|||Forwards Running,A person runs forwards with knees together and legs flicking to the sides.
Knees together and flick legs to sides as moving|||Forwards Walking,A person walks forward with knees together and legs flicking to the sides.
Knees together and flick legs to sides as moving|||Idling,A person idles with knees together and flicks legs to the sides.
Knees together and flick legs to sides as moving|||Sidestep Running,A person runs with sidesteps while keeping knees together and flicking legs to the sides.
Knees together and flick legs to sides as moving|||Sidestep Walking,A person sidesteps with knees together and flicks legs to the sides while moving.
Knees together and flick legs to sides as moving|||Transition 1,A person transitions with knees together and legs flicking to the sides.
Legs apart motions|||Backwards Running,A person runs backwards with legs apart.
Legs apart motions|||Backwards Walking,A person walks backwards with legs apart.
Legs apart motions|||Forwards Running,A person runs forwards with legs apart.
Legs apart motions|||Forwards Walking,Human motion of walking forward with legs apart.
Legs apart motions|||Idling,A person idles with legs apart.
